sep=;

"storeNumber";"storeName";"planId";"date";"schedule";"itemNumber";"itemDescription";"modifiedQty";"productionArea";"v1_forecast";"v2_forecast";
"474";"null";"null";"2021-10-20";"8:00AM";"109821259";"null";"null";"390";"2";"n/a";
"474";"null";"null";"2021-10-20";"8:00AM";"110280816";"null";"null";"390";"4";"n/a";
"474";"null";"null";"2021-10-20";"8:00AM";"110281069";"null";"null";"390";"6";"n/a";
"8";"null";"null";"2021-10-20";"10:00AM";"103264421";"null";"null";"390";"2";"n/a";
"8";"null";"null";"2021-10-20";"10:00AM";"103267824";"null";"null";"390";"2";"n/a";
"8";"null";"null";"2021-10-20";"10:00AM";"104284116";"null";"null";"390";"25";"n/a";
"8";"null";"null";"2021-10-20";"10:00AM";"104284132";"null";"null";"390";"5";"n/a";
"8";"null";"null";"2021-10-20";"10:00AM";"104284271";"null";"null";"390";"4";"n/a";
"8";"null";"null";"2021-10-20";"10:00AM";"104284280";"null";"null";"390";"4";"n/a";
"8";"null";"null";"2021-10-20";"10:00AM";"104288230";"null";"null";"390";"2";"n/a";
"8";"null";"null";"2021-10-20";"10:00AM";"104305589";"null";"null";"390";"30";"n/a";
