sep=;

"storeNumber";"productionArea";"date";"schedule";"itemNumber";"v1_forecast";
"304";"392";"2021-10-17";"11:00AM";"104341803";"22";
"304";"392";"2021-10-17";"11:00AM";"104343471";"10";
"304";"392";"2021-10-17";"11:00AM";"105901681";"9";
"304";"392";"2021-10-17";"11:00AM";"108799563";"7";
"304";"392";"2021-10-17";"11:00AM";"108799731";"3";
"304";"392";"2021-10-17";"11:00AM";"108800552";"14";
"304";"392";"2021-10-17";"11:00AM";"108801037";"4";
"304";"392";"2021-10-17";"11:00AM";"108810689";"42";
"304";"392";"2021-10-17";"11:00AM";"108810929";"64";
"304";"392";"2021-10-17";"11:00AM";"108865719";"6";
"304";"392";"2021-10-17";"11:00AM";"110189465";"8";
"304";"392";"2021-10-17";"11:00AM";"110237666";"16";
"304";"392";"2021-10-17";"11:00AM";"110243388";"22";
"304";"392";"2021-10-17";"11:00AM";"110243530";"10";
"304";"392";"2021-10-17";"11:00AM";"110249131";"24";
"313";"392";"2021-10-17";"11:00AM";"104341803";"14";
"313";"392";"2021-10-17";"11:00AM";"104343471";"10";
"313";"392";"2021-10-17";"11:00AM";"108800552";"15";
"313";"392";"2021-10-17";"11:00AM";"108810689";"51";
"313";"392";"2021-10-17";"11:00AM";"108810929";"4";
"313";"392";"2021-10-17";"11:00AM";"108865719";"4";
"313";"392";"2021-10-17";"11:00AM";"109383287";"4";
"313";"392";"2021-10-17";"11:00AM";"110189465";"4";
"313";"392";"2021-10-17";"11:00AM";"110189490";"6";
"313";"392";"2021-10-17";"11:00AM";"110243530";"12";
"313";"392";"2021-10-17";"11:00AM";"110249131";"4";
"313";"392";"2021-10-17";"11:00AM";"110737994";"10";
"313";"392";"2021-10-17";"11:00AM";"110747754";"4";
"474";"392";"2021-10-17";"11:00AM";"104341803";"20";
"474";"392";"2021-10-17";"11:00AM";"104343471";"8";
"474";"392";"2021-10-17";"11:00AM";"108800552";"17";
"474";"392";"2021-10-17";"11:00AM";"108801037";"8";
"474";"392";"2021-10-17";"11:00AM";"108810689";"17";
"474";"392";"2021-10-17";"11:00AM";"108810929";"19";
"474";"392";"2021-10-17";"11:00AM";"108810996";"12";
"474";"392";"2021-10-17";"11:00AM";"108831640";"8";
"474";"392";"2021-10-17";"11:00AM";"108831762";"6";
"474";"392";"2021-10-17";"11:00AM";"108837179";"2";
"474";"392";"2021-10-17";"11:00AM";"108865719";"6";
"474";"392";"2021-10-17";"11:00AM";"109383447";"10";
"474";"392";"2021-10-17";"11:00AM";"109781373";"0";
"474";"392";"2021-10-17";"11:00AM";"110189465";"10";
"474";"392";"2021-10-17";"11:00AM";"110189490";"0";
"474";"392";"2021-10-17";"11:00AM";"110189529";"0";
"474";"392";"2021-10-17";"11:00AM";"110237666";"8";
"474";"392";"2021-10-17";"11:00AM";"110243388";"6";
"474";"392";"2021-10-17";"11:00AM";"110243530";"6";
"474";"392";"2021-10-17";"11:00AM";"110249131";"8";
"474";"392";"2021-10-17";"11:00AM";"110586663";"10";
"474";"392";"2021-10-17";"11:00AM";"110737994";"2";
"474";"392";"2021-10-17";"11:00AM";"110747754";"6";
"474";"392";"2021-10-17";"11:00AM";"110847886";"0";
"8";"390";"2021-10-17";"12:00PM";"104284116";"25";
"8";"390";"2021-10-17";"12:00PM";"104305589";"30";
"8";"390";"2021-10-17";"12:00PM";"104978599";"28";
"8";"390";"2021-10-17";"12:00PM";"105453541";"3";
"8";"390";"2021-10-17";"12:00PM";"105810149";"32";
"8";"390";"2021-10-17";"12:00PM";"105810261";"30";
"8";"390";"2021-10-17";"12:00PM";"106795201";"6";
"8";"390";"2021-10-17";"12:00PM";"108812617";"6";
"8";"390";"2021-10-17";"12:00PM";"109807369";"3";
"8";"390";"2021-10-17";"12:00PM";"110280816";"12";
"8";"390";"2021-10-17";"12:00PM";"110281069";"8";
"304";"390";"2021-10-17";"12:00PM";"104284116";"85";
"304";"390";"2021-10-17";"12:00PM";"104305589";"30";
"304";"390";"2021-10-17";"12:00PM";"104978599";"30";
"304";"390";"2021-10-17";"12:00PM";"105453541";"5";
"304";"390";"2021-10-17";"12:00PM";"105810149";"29";
"304";"390";"2021-10-17";"12:00PM";"105810261";"30";
"304";"390";"2021-10-17";"12:00PM";"106795201";"6";
"304";"390";"2021-10-17";"12:00PM";"108812617";"12";
"304";"390";"2021-10-17";"12:00PM";"109807369";"7";
"304";"390";"2021-10-17";"12:00PM";"110280816";"11";
"304";"390";"2021-10-17";"12:00PM";"110281069";"7";
"313";"390";"2021-10-17";"12:00PM";"104284116";"55";
"313";"390";"2021-10-17";"12:00PM";"104305589";"34";
"313";"390";"2021-10-17";"12:00PM";"104978599";"25";
"313";"390";"2021-10-17";"12:00PM";"105453541";"8";
"313";"390";"2021-10-17";"12:00PM";"105810149";"30";
"313";"390";"2021-10-17";"12:00PM";"105810261";"30";
"313";"390";"2021-10-17";"12:00PM";"106795201";"11";
"313";"390";"2021-10-17";"12:00PM";"108812617";"0";
"313";"390";"2021-10-17";"12:00PM";"109807369";"6";
"313";"390";"2021-10-17";"12:00PM";"110280816";"9";
"313";"390";"2021-10-17";"12:00PM";"110281069";"23";
"474";"390";"2021-10-17";"12:00PM";"104284116";"25";
"474";"390";"2021-10-17";"12:00PM";"104305589";"35";
"474";"390";"2021-10-17";"12:00PM";"104978599";"24";
"474";"390";"2021-10-17";"12:00PM";"105453541";"3";
"474";"390";"2021-10-17";"12:00PM";"105810149";"28";
"474";"390";"2021-10-17";"12:00PM";"105810261";"30";
"474";"390";"2021-10-17";"12:00PM";"106795201";"8";
"474";"390";"2021-10-17";"12:00PM";"108812617";"6";
"474";"390";"2021-10-17";"12:00PM";"109807369";"4";
"474";"390";"2021-10-17";"12:00PM";"110280816";"10";
"474";"390";"2021-10-17";"12:00PM";"110281069";"9";
"8";"390";"2021-10-17";"2:00PM";"104978599";"4";
"8";"390";"2021-10-17";"2:00PM";"105348927";"50";
"8";"390";"2021-10-17";"2:00PM";"108812617";"6";
"8";"390";"2021-10-17";"2:00PM";"110280816";"7";
"8";"390";"2021-10-17";"2:00PM";"110281069";"8";
"304";"390";"2021-10-17";"2:00PM";"104978599";"4";
"304";"390";"2021-10-17";"2:00PM";"105348927";"40";
"304";"390";"2021-10-17";"2:00PM";"108812617";"12";
"304";"390";"2021-10-17";"2:00PM";"110280816";"5";
"304";"390";"2021-10-17";"2:00PM";"110281069";"9";
"313";"390";"2021-10-17";"2:00PM";"104978599";"4";
"313";"390";"2021-10-17";"2:00PM";"105348927";"40";
"313";"390";"2021-10-17";"2:00PM";"108812617";"0";
"313";"390";"2021-10-17";"2:00PM";"110280816";"5";
"313";"390";"2021-10-17";"2:00PM";"110281069";"14";
