Store,Production Area,Plan ID,Production Date,SKU Number,Description,Forecast Qty,Modified Qty,Modified By,Sales,Throwaways,Production Totals,
8,390,829777,10/12/2021,109807369,CUMBERLAND SAUSAGE (FRYABLE),2,,,,,2,
8,390,829777,10/12/2021,109807481,CHINESE RIB,3,,,,,3,
8,390,829777,10/12/2021,109821259,MIN: MORRISONS CUMBERLAND SAUSAGE,2,,,,,2,
8,390,829777,10/12/2021,109821363,MORRISONS BELLY PORK PORTION,2,,,,,2,
8,390,829777,10/12/2021,109821515,MIN: MORRISONS CHINESE RIBS,3,,,,,3,
8,390,829777,10/12/2021,110230093,MIN: MORRISONS BBQ PORK RIB RACK,0,,,,,0,
8,390,829777,10/12/2021,110280816,EXTRA TASTY WHOLE CHICKEN,4,,,,,4,
8,390,829777,10/12/2021,110281069,PLAIN WHOLE CHICKEN 1.25-1.4KG,7,,,,,7,
8,390,829777,10/12/2021,110482856,MIN: (B) MORRISONS LEMON HERB LEG QUARTERS,4,,,,,4,
8,390,829777,10/12/2021,110482881,MIN: (B) MORRISONS PERI PERI LEG QUARTERS,9,,,,,9,
8,390,829777,10/12/2021,110482928,MIN: (B) MORRISONS FIRECRACKER WINGS,25,,,,,25,
8,390,829777,10/12/2021,110488633,MIN: MORRISONS 5 FIRECRACKER CHICKEN WINGS,5,,,,,5,
8,390,829777,10/12/2021,110488730,MIN: MORRISONS LEMON & HERB CHICKEN LEG,2,,,,,2,
8,390,829777,10/12/2021,110488772,MIN: MORRISONS 2 LEMON & HERB CHICKEN LEGS,1,,,,,1,
8,390,829777,10/12/2021,110488810,MIN: MORRISONS 4 LEMON & HERB CHICKEN LEGS,0,,,,,0,
8,390,829777,10/12/2021,110488836,MIN: MORRISONS PERI PERI CHICKEN LEG,1,,,,,1,
8,390,829777,10/12/2021,110488887,MIN: MORRISONS 2 PERI PERI CHICKEN LEGS,2,,,,,2,
8,390,829777,10/12/2021,110488924,MIN: MORRISONS 4 PERI PERI CHICKEN LEGS,1,,,,,1,
8,390,829777,10/12/2021,110949567,MORRISONS BELLY PORK PORTION,2,,,,,2,
